time, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta
0.678481817,200,0,0,0,1676,3439,18270,10436,20245,11595,3415,7983
1.646022797,200,0,0,0,4581,1478,14034,96776,20882,5877,9815,17862
2.635982275,200,0,0,0,9616,4947,19039,6732,65648,31286,12068,5494
3.635576248,200,0,0,0,38284,6846,91493,1226275,114465,80685,325016,300159
4.645217896,200,0,0,0,5869,2965,6634,713325,49295,54120,45185,111894
5.667292356,200,0,0,0,4688,5581,7155,61337,20170,10052,42995,25450
6.675264597,200,0,0,0,7391,5337,17582,19244,12171,3910,24976,4484
8.657216072,200,0,0,0,15057,1649,68443,15110,9582,13950,6728,7331
9.64891839,200,0,0,0,6808,3209,11289,6167,13981,14707,7042,17784
10.63924026,200,0,0,0,5082,5362,16387,10340,8792,2279,12657,17446
11.67336559,200,0,0,0,9200,3770,2072,3357,18990,6207,13077,11493
12.64715433,200,0,0,0,4676,4630,5174,10598,9505,16163,16682,18035
13.70225692,200,0,0,0,9497,11673,17611,5615,13523,17890,3408,3012
15.67595291,200,0,0,0,3709,2926,18218,11950,8812,4585,17073,5311
17.64732623,51,0,0,0,11668,13727,21517,356656,41126,11434,16103,87465
18.67367792,54,0,0,0,14268,7512,38049,2004571,26752,45073,24837,136566
20.6400249,54,0,0,0,0,0,0,37,0,2,1,0
21.68231034,54,0,0,0,565,418,4891,51668,1055,8006,3044,40970
22.654392,200,0,0,0,9417,3239,3064,197951,6723,5686,19136,25469
23.64909506,200,0,0,0,2490,788,4294,25435,3813,4780,4491,4952
24.65431857,200,0,0,0,3958,6871,2166,6505,11980,28147,4230,18026
25.6628871,200,0,0,0,5405,9363,17549,2663,12669,12445,4510,6751
26.65339565,200,0,0,0,4137,2988,27010,28097,12380,17118,8353,15677
27.64171147,200,0,0,0,5288,5148,15165,8413,9907,8210,11423,16625
28.67115951,200,0,0,0,6299,10116,8473,25870,18841,4103,11974,10255
29.66508198,200,0,0,0,10766,5233,2931,8332,9928,2005,31556,10192
30.6825223,200,0,0,0,5670,3542,8930,13235,13715,3072,17250,16300
32.63213992,200,0,0,0,1020,1912,24475,98405,18303,7325,28365,69922
33.66678953,200,0,0,0,3256,5417,3507,64826,11917,10764,11010,39025
34.69632959,200,0,0,0,1565,1802,4478,289509,1387,2354,5111,26699
36.66799784,200,0,0,0,7424,2885,22274,48960,10325,36783,4841,39970
38.65312028,200,0,0,0,11853,11332,58265,280371,16403,22397,31819,89872
39.66874003,200,0,0,0,1643,1444,12689,724521,2876,4199,4850,10445
40.69701481,200,0,0,0,4198,2565,21316,832403,42276,8969,19970,533430
41.63562417,200,0,0,0,99,76,1584,265631,245,498,703,10727
42.63672137,200,0,0,0,22699,9054,94589,806893,184742,25886,146127,69599
44.65518475,200,0,0,0,875,557,7339,1625586,3357,9940,5140,67609
